############################################################
# Chord csv data source format:
# type,root,shortName,longName,fingerData,fretData
############################################################
# STATIC CHORDS
Static,A,Asus4,A Suspended 4th,0 0 1 2 4 0,-1 0 2 2 3 0
Static,A,A7sus4,A Dominant 7th Suspended 4th,0 0 2 0 4 0,-1 0 2 0 3 0
Static,A,A7,A Dominant 7th,0 0 1 0 3 0,-1 0 2 0 2 0
Static,A,A5,A Powerchord,0 0 2 3 0 0,-1 0 2 2 0 0
Static,A,A6,A Added 6th,0 0 1 2 3 4,-1 0 2 2 2 2
Static,A,A7*,A Dominant 7th (alt. voicing),0 0 1 2 3 4,-1 0 2 2 2 3
Static,A,Am7,A Minor 7th,0 0 2 0 1 0,-1 0 2 0 1 0
Static,A,Am,A Minor,0 0 2 3 1 0,-1 0 2 2 1 0
Static,A,Am(maj7),A Minor (Major 7th),0 0 3 1 2 0,-1 0 2 1 1 0
Static,A,Amaj7,A Major 7th,0 0 2 1 3 0,-1 0 2 1 2 0
Static,A,Asus2,A Suspended 2nd,0 0 1 2 0 0,-1 0 2 2 0 0
Static,A,Am7,A Minor 7th (alt. voicing),0 0 2 0 1 4,-1 0 2 0 1 3
Static,A,A,A Major,0 0 1 2 3 0,-1 0 2 2 2 0
Static,B,B7,B Dominant 7th,0 2 1 3 0 4,-1 2 1 2 0 2
Static,C,C/B,C Major on B,0 2 0 0 1 0,-1 2 -1 0 1 0
Static,C,Csus4,C Suspended 4th,0 3 4 0 1 0,-1 3 3 0 1 0
Static,C,Cadd9,C Major added 9th,0 2 1 0 3 4,-1 3 2 0 3 3
Static,C,C7,C Dominant 7th,0 3 2 4 1 0,-1 3 2 3 1 0
Static,C,Cmaj7,C Major 7th,0 3 2 0 0 0,-1 3 2 0 0 0
Static,C,C*,C Major (alt. voicing),0 3 2 0 1 4,-1 3 2 0 1 3
Static,C,C,C Major,0 3 2 0 1 0,-1 3 2 0 1 0
Static,D,D7,D Dominant 7th,0 0 0 2 1 3,-1 -1 0 2 1 2
Static,D,Dm(maj7),D Minor (Major 7th),0 0 0 2 3 1,-1 -1 0 2 2 1
Static,D,D5,D powerchord (no third),0 0 0 1 3 0,-1 -1 0 2 3 -1
Static,D,Dm7,D Minor 7th,0 0 0 3 1 2,-1 -1 0 2 1 1
Static,D,Dm,D Minor,0 0 0 2 3 1,-1 -1 0 2 3 1
Static,D,Dmaj7,D Major 7th,0 0 0 1 2 3,-1 -1 0 2 2 2
Static,E,Emadd9,E Minor added 9th,0 2 3 0 0 4,0 2 2 0 0 2
Static,E,E7,E Dominant 7th,0 2 0 1 0 0,0 2 0 1 0 0
Static,E,Esus4,E Suspended 4th,0 2 3 4 0 0,0 2 2 2 0 0
Static,E,E7#9,The Hendrix chord,0 2 0 1 3 4,0 2 0 1 3 3
Static,E,E6,E Added 6th,0 2 3 1 4 0,0 2 2 1 2 0
Static,E,E7*,E Dominant 7th (alt. voicing),0 2 0 1 4 0,0 2 0 1 3 0
Static,E,Em7,E Minor 7th,0 2 0 0 0 0,0 2 0 0 0 0
Static,E,E,E Major,0 2 3 1 0 0,0 2 2 1 0 0
Static,E,Em,E Minor,0 2 3 0 0 0,0 2 2 0 0 0
Static,E,E5,E Powerchord (no third),0 2 3 0 0 0,0 2 2 -1 -1 -1
Static,E,E7sus4,E Dominant 7th Suspended 4th,0 2 0 4 0 0,0 2 0 2 0 0
Static,E,Em(maj7),E Minor (Major 7th),0 2 1 0 0 0,0 2 1 0 0 0
Static,E,Em7*,E Minor 7th (alt. voicing),0 1 2 0 3 4,0 2 2 0 3 3
Static,E,Emaj7,E Major 7th,0 3 1 2 0 0,0 2 1 1 0 0
Static,F,F,F Major,0 0 3 2 1 1,-1 0 3 2 1 1 
Static,F,F69,F69,1 0 0 0 2 3,1 0 0 0 1 1
Static,F,Fm7,F Minor 7th,1 3 1 1 1 1,1 3 1 1 1 1
Static,F,Fdim,F Diminished,0 0 0 1 0 2,-1 -1 0 1 0 1
Static,F,F5,F5 Power Chord,1 3 4 0 0 0,1 3 3 -1 -1 -1 
Static,F,Faug,F Augmented,0 0 1 3 4 2,-1 -1 1 4 4 3
Static,F,F9,F9,3 0 4 2 1 1,3 0 3 2 1 1
Static,F,Fsus4,F Suspended 4th,0 0 3 4 1 1,-1 -1 3 3 1 1
Static,G,G/F#,G Major on F Sharp,1 0 0 0 0 3,2 -1 0 0 0 3
